player_id,match_id,shot,goal,assist,pass,pass_accurate,tackle,accel,counter,opportunity,keypass,own_goal,interception,smart,clearance,cross,air_duel,air_duel_won,gk_leave_line,gk_save_attempt,throw,corner,started,pos,min,player_rank
703,2057999,0,0,0,63,52,0,0,0,0,0,0,7,0,6,0,9,5,0,0,0,0,True,right CB,90.0,0.0126
703,2058000,1,0,0,82,80,0,0,0,1,0,0,9,0,2,0,3,3,0,0,0,0,True,right CB,90.0,0.0183
703,2058007,0,0,0,51,44,0,0,0,0,0,0,15,0,10,0,2,1,0,0,0,0,True,right CB,90.0,0.025
1722,2057970,1,0,0,8,8,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,False,left FW,32.0,0.0017
3269,2057960,0,0,0,75,67,0,0,0,0,2,0,2,0,2,4,0,0,0,0,8,0,True,left MF,90.0,-0.0041
3269,2057963,0,0,0,84,78,0,0,0,0,0,0,2,0,1,7,1,0,0,0,5,0,True,left MF,90.0,-0.0142
3269,2057965,0,0,0,72,66,0,0,0,0,0,0,6,0,0,2,1,0,0,0,6,0,True,left MF,90.0,-0.0036
3269,2058004,2,0,0,145,136,0,1,0,1,0,0,2,0,1,1,5,0,0,0,19,0,True,left MF,120.0,0.014
3280,2057972,2,0,0,54,46,2,1,4,1,0,0,2,0,0,2,0,0,0,0,1,1,False,central FW,36.0,0.0151
3280,2057976,0,0,1,89,80,7,0,0,0,1,0,1,0,1,2,3,1,0,0,0,2,True,central MF,90.0,0.0384
3280,2058003,1,0,0,58,52,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,True,central MF,90.0,-0.0065
3304,2057960,1,1,0,49,46,1,1,2,1,0,0,2,0,4,2,3,1,0,0,11,0,True,right MF,90.0,0.0284
3304,2058004,0,0,0,42,39,0,0,0,0,1,0,1,0,1,3,4,1,0,0,3,0,True,right MF,70.0,0.0049
3305,2057960,0,0,0,27,21,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,True,right CB,90.0,0.0029
3305,2057962,0,0,0,31,23,0,0,1,0,0,0,6,0,4,1,3,2,0,0,0,0,True,right CB,90.0,0.027
3305,2057964,0,0,0,52,48,0,0,1,0,0,0,4,0,3,0,16,8,0,0,0,0,True,right CB,90.0,0.0135
3305,2058002,1,1,0,34,27,0,0,0,1,0,0,5,0,1,0,10,7,0,0,1,0,True,right CB,90.0,0.0234
3306,2057960,0,0,0,113,112,0,0,0,0,0,0,4,0,1,0,3,2,0,0,0,0,True,left CB,90.0,0.0177
3306,2057963,1,0,0,94,89,0,0,0,1,1,0,5,0,1,0,13,4,0,0,2,0,True,central MF-left CB-left MF,90.0,0.0064
3306,2057965,1,0,0,101,96,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,True,left CB,90.0,0.013
3306,2058004,1,1,0,174,165,0,0,0,1,0,0,2,0,1,0,12,6,0,0,0,0,True,left FW-left MF,120.0,0.0236
3309,2057966,0,0,0,65,57,0,1,0,0,0,0,4,0,2,0,4,3,0,0,0,0,True,right CB,90.0,0.0118
3309,2057968,1,0,0,34,30,0,0,0,1,0,0,3,0,3,0,7,4,0,0,0,0,True,right CB,90.0,0.0129
3309,2057970,1,0,0,81,77,0,0,0,1,0,0,3,0,2,0,8,7,0,0,0,0,True,right CB,90.0,0.0192
3309,2058003,0,0,0,39,36,0,0,2,0,0,0,8,0,1,0,1,1,0,0,0,0,True,right CB,90.0,0.0056
3309,2058010,1,1,0,36,28,0,0,0,1,0,0,3,0,0,0,7,5,0,0,0,0,True,right CB,90.0,0.0165
3309,2058014,0,0,0,38,33,1,0,1,0,0,0,7,0,4,0,4,2,0,0,0,0,True,right CB,90.0,0.0115
