player_id,goals,assists,own_goals,red_cards,yellow_cards,team_id,match_id,started
69616,0,0,0,0,0,9598,2058017,True
105361,0,0,0,0,0,9598,2058017,True
69409,0,0,0,0,92,9598,2058017,True
25393,null,0,0,0,0,9598,2058017,True
135747,null,0,0,0,0,9598,2058017,True
14943,1,0,1,0,0,9598,2058017,True
3476,null,0,0,0,0,9598,2058017,True
8287,null,0,0,0,0,9598,2058017,True
69396,null,1,0,0,0,9598,2058017,True
69968,null,0,0,0,0,9598,2058017,True
14812,1,0,0,0,0,9598,2058017,True
11066,0,0,0,0,0,2413,2058016,True
8292,0,0,0,0,0,2413,2058016,True
235555,0,0,0,0,0,2413,2058016,True
9380,0,0,0,0,52,2413,2058016,True
7918,null,0,0,0,0,2413,2058016,True
8653,0,0,0,0,76,2413,2058016,True
210044,null,0,0,0,0,2413,2058016,True
8945,null,0,0,0,0,2413,2058016,True
8464,null,0,0,0,0,2413,2058016,True
8717,null,0,0,0,0,2413,2058016,True
10131,null,0,0,0,0,2413,2058016,True
11066,0,0,0,0,0,2413,2058015,True
9380,null,0,0,0,0,2413,2058015,True
8653,null,0,0,0,0,2413,2058015,True
8945,1,0,0,0,0,2413,2058015,True
8717,null,0,0,0,0,2413,2058015,True
13484,null,0,0,0,0,2413,2058015,True
10131,null,0,0,0,0,2413,2058015,True
7934,null,0,0,0,0,2413,2058015,True
7939,null,0,0,0,0,2413,2058015,True
7964,0,0,0,0,0,2413,2058015,True
8277,0,0,0,0,54,2413,2058015,True
11152,null,0,0,0,0,5629,2058014,True
8249,0,0,0,0,0,5629,2058014,True
36,null,0,0,0,71,5629,2058014,True
7905,null,0,0,0,0,5629,2058014,True
48,0,0,0,0,94,5629,2058014,True
25707,null,0,0,0,63,5629,2058014,True
38021,null,0,0,0,0,5629,2058014,True
8307,null,0,0,0,0,5629,2058014,True
70123,null,0,0,0,0,5629,2058014,True
3429,null,0,0,0,0,5629,2058014,True
261,0,0,0,0,0,5629,2058014,True
101699,null,0,0,0,0,14358,2058012,True
4513,1,0,0,0,0,14358,2058012,True
101669,null,0,0,0,0,14358,2058012,True
103668,null,0,0,0,0,14358,2058012,True
220971,0,0,0,0,0,14358,2058012,True
41123,1,0,0,0,0,14358,2058012,True
103682,null,0,0,0,0,14358,2058012,True
101647,null,0,0,0,0,14358,2058012,True
101576,null,0,0,0,0,14358,2058012,True
101583,null,0,0,0,0,14358,2058012,True
257800,0,0,0,0,0,14358,2058012,True
123,null,0,0,0,0,7047,2058013,True
