name,foot,goal,dist_m,dist_ft,time,match_id,period,team_id,player_id,shot_id,accurate,shot_loc,counter,opportunity,x1,y1,x2,y2,H1,H2,E1,shot_loc_desc,time2,min
Mohamed Elneny,right,False,12.972017429933558,42.54821717018207,2151.850972,2057955,2H,16129,120339,258688008,False,otl,False,True,89,63,0,0,2773.658277,3063.8820100000003,,out high left,4925.509249000001,82.0
E. Cavani,right,False,21.00342710851017,68.89124091591336,2249.3849760000003,2057955,2H,15670,21174,258688043,True,gc,False,True,81,43,100,100,2773.658277,3063.8820100000003,,goal center,5023.043253,83.0
M. Cáceres,right,False,13.171479112935646,43.20245149042892,2567.46883,2057955,2H,15670,20460,258688131,False,,False,True,88,51,100,100,2773.658277,3063.8820100000003,,,5341.127107,89.0
J. Giménez,head/body,True,11.02672850679203,36.16766950227786,2640.21225,2057955,2H,15670,227894,258688146,True,gr,False,True,90,47,100,100,2773.658277,3063.8820100000003,,goal center right,5413.870527,90.0
Mohamed Elneny,right,False,16.859604153197072,55.299501622486396,2984.843913,2057955,2H,16129,120339,258688237,False,,False,False,86,69,0,0,2773.658277,3063.8820100000003,,,5758.50219,95.0
R. Zobnin,left,False,25.68493018405929,84.24657100371446,281.547323,2057956,1H,14358,103682,259393769,False,,False,False,78,26,0,0,2702.595624,2943.266872,,,281.547323,4.0
S. Ignashevich,head/body,False,12.157547352982014,39.876755317781004,320.369879,2057956,1H,14358,101583,259393777,True,gc,False,True,89,46,0,0,2702.595624,2943.266872,,goal center,320.369879,5.0
A. Golovin,right,False,27.43,89.9704,335.64217799999994,2057956,1H,14358,257800,259393782,False,olb,False,True,75,50,0,0,2702.595624,2943.266872,,out low left,335.64217799999994,5.0
D. Cheryshev,left,False,22.092849885483314,72.46454762438526,780.551217,2057956,1H,14358,4513,259393953,False,,False,False,80,57,0,0,2702.595624,2943.266872,,,780.551217,13.0
Marwan Mohsen,head/body,False,6.217529412877755,20.393496474239036,852.071079,2057956,1H,16129,120225,259393974,False,olb,False,True,95,42,100,100,2702.595624,2943.266872,,out low left,852.071079,14.0
Trézéguet,right,False,14.30592566744634,46.92343618922399,927.646816,2057956,1H,16129,220112,259394002,False,or,False,True,89,29,100,100,2702.595624,2943.266872,,out center right,927.646816,15.0
D. Cheryshev,right,False,28.983109910601378,95.06460050677252,1096.277784,2057956,1H,14358,4513,259394060,False,ot,False,True,74,36,0,0,2702.595624,2943.266872,,out high center,1096.277784,18.0
Y. Gazinskiy,right,False,32.64881710629039,107.08812010863247,1381.75727,2057956,1H,14358,102157,259394199,False,ot,False,False,71,30,0,0,2702.595624,2943.266872,,out high center,1381.75727,23.0
Trézéguet,right,False,25.74985490463975,84.45952408721838,1451.490976,2057956,1H,16129,220112,259394215,False,,False,False,77,36,100,100,2702.595624,2943.266872,,,1451.490976,24.0
Marwan Mohsen,head/body,False,9.310262858265602,30.537662175111173,2029.725531,2057956,1H,16129,120225,259394462,False,otl,False,True,94,32,100,100,2702.595624,2943.266872,,out high left,2029.725531,33.0
Marwan Mohsen,head/body,False,8.340146430968703,27.355680293577343,2073.835224,2057956,1H,16129,120225,259394480,False,otl,False,True,94,36,100,100,2702.595624,2943.266872,,out high left,2073.835224,34.0
D. Cheryshev,left,False,30.79987884407989,101.02360260858202,2300.310333,2057956,1H,14358,4513,259394602,False,,False,False,72,44,0,0,2702.595624,2943.266872,,,2300.310333,38.0
A. Dzyuba,head/body,False,10.806248009369396,35.444493470731615,2424.579207,2057956,1H,14358,101669,259394638,False,ot,False,True,91,62,0,0,2702.595624,2943.266872,,out high center,2424.579207,40.0
Mohamed Salah,left,False,14.560623645984396,47.75884555882882,2468.963435,2057956,1H,16129,120353,259394653,False,ol,False,True,87,58,100,100,2702.595624,2943.266872,,out center left,2468.963435,41.0
R. Zobnin,right,False,28.800315692714204,94.46503547210258,90.25221899999995,2057956,2H,14358,103682,259402098,False,olb,False,False,75,74,0,0,2702.595624,2943.266872,,out low left,2792.847843,46.0
