player_id,match_id,name,team,pos,shot,goal,assist,cross,throw,corner
4513,2057954,D. Cheryshev,Russia,MID,3,2,0,4,0,0
101699,2057954,A. Samedov,Russia,MID,2,0,0,1,1,0
101857,2057954,Y. Zhirkov,Russia,MID,1,0,0,1,10,4
102157,2057954,Y. Gazinskiy,Russia,MID,1,1,0,0,0,0
103682,2057954,R. Zobnin,Russia,MID,2,0,0,1,0,0
122577,2057954,Taisir Al Jassim,Saudi Arabia,MID,0,0,0,0,1,0
122615,2057954,Hattan Bahbir,Saudi Arabia,MID,1,0,0,1,1,0
122832,2057954,Salem Al Dawsari,Saudi Arabia,MID,2,0,0,0,0,0
122847,2057954,Salman Al Faraj,Saudi Arabia,MID,0,0,0,0,2,2
220971,2057954,D. Kuzyaev,Russia,MID,1,0,0,0,0,0
257800,2057954,A. Golovin,Russia,MID,0,1,2,3,1,2
70095,2057955,C. Rodríguez,Uruguay,MID,0,0,0,2,0,0
86340,2057955,C. Sánchez,Uruguay,MID,1,0,1,3,1,3
116349,2057955,M. Vecino,Uruguay,MID,1,0,0,0,0,0
119932,2057955,Mahmoud Kahraba,Egypt,MID,0,0,0,2,0,0
120339,2057955,Mohamed Elneny,Egypt,MID,2,0,0,0,0,0
213364,2057955,G. De Arrascaeta,Uruguay,MID,0,0,0,2,0,2
220112,2057955,Trézéguet,Egypt,MID,2,0,0,1,1,0
299618,2057955,N. Nández,Uruguay,MID,0,0,0,3,0,0
388928,2057955,Amr Warda,Egypt,MID,0,0,0,3,0,0
437417,2057955,Tarek Hamed,Egypt,MID,1,0,0,0,0,0
4513,2057956,D. Cheryshev,Russia,MID,4,1,0,4,3,1
101699,2057956,A. Samedov,Russia,MID,0,0,0,4,0,6
101857,2057956,Y. Zhirkov,Russia,MID,0,0,0,4,7,0
102157,2057956,Y. Gazinskiy,Russia,MID,1,0,0,2,0,0
103682,2057956,R. Zobnin,Russia,MID,2,0,0,2,0,0
120167,2057956,Abdallah Said,Egypt,MID,1,0,0,1,0,4
220112,2057956,Trézéguet,Egypt,MID,3,0,0,2,0,0
257800,2057956,A. Golovin,Russia,MID,1,0,0,5,0,0
388928,2057956,Amr Warda,Egypt,MID,1,0,0,4,1,0
70095,2057957,C. Rodríguez,Uruguay,MID,0,0,0,2,0,0
86340,2057957,C. Sánchez,Uruguay,MID,2,0,1,2,0,1
116269,2057957,D. Laxalt,Uruguay,MID,0,0,0,0,2,0
122577,2057957,Taisir Al Jassim,Saudi Arabia,MID,0,0,0,0,1,1
122615,2057957,Hattan Bahbir,Saudi Arabia,MID,2,0,0,1,0,1
122832,2057957,Salem Al Dawsari,Saudi Arabia,MID,1,0,0,1,0,0
122847,2057957,Salman Al Faraj,Saudi Arabia,MID,0,0,0,3,1,2
284147,2057957,Mohammed Kanno,Saudi Arabia,MID,1,0,0,0,0,0
333571,2057957,L. Torreira,Uruguay,MID,1,0,0,0,0,1
4513,2057958,D. Cheryshev,Russia,MID,1,0,0,3,1,1
70095,2057958,C. Rodríguez,Uruguay,MID,2,0,0,1,0,0
101699,2057958,A. Samedov,Russia,MID,0,0,0,1,0,1
103682,2057958,R. Zobnin,Russia,MID,1,0,0,2,0,0
116269,2057958,D. Laxalt,Uruguay,MID,1,0,0,3,10,0
116349,2057958,M. Vecino,Uruguay,MID,1,0,0,0,0,0
213364,2057958,G. De Arrascaeta,Uruguay,MID,0,0,0,2,0,3
333571,2057958,L. Torreira,Uruguay,MID,1,0,0,0,0,1
361807,2057958,R. Bentancur,Uruguay,MID,2,0,0,0,0,0
120167,2057959,Abdallah Said,Egypt,MID,0,0,1,1,0,0
120339,2057959,Mohamed Elneny,Egypt,MID,1,0,0,0,0,0
122615,2057959,Hattan Bahbir,Saudi Arabia,MID,3,0,0,2,0,1
122832,2057959,Salem Al Dawsari,Saudi Arabia,MID,4,1,0,0,0,1
122847,2057959,Salman Al Faraj,Saudi Arabia,MID,1,1,0,5,4,5
122918,2057959,Hussain Al Mogahwi,Saudi Arabia,MID,5,0,0,3,0,0
139393,2057959,Abdullah Otayf,Saudi Arabia,MID,2,0,1,0,0,0
220112,2057959,Trézéguet,Egypt,MID,3,0,0,1,0,0
388928,2057959,Amr Warda,Egypt,MID,1,0,0,2,0,2
3346,2057960,Sergio Busquets,Spain,MID,1,0,1,0,0,0
3353,2057960,Iniesta,Spain,MID,1,0,0,0,0,0
3443,2057960,Koke,Spain,MID,0,0,0,1,0,1
3563,2057960,Isco,Spain,MID,2,0,0,5,2,3
8317,2057960,David Silva,Spain,MID,2,0,0,0,0,1
70093,2057960,João Moutinho,Portugal,MID,0,0,0,1,1,1
70965,2057960,João Mário,Portugal,MID,0,0,0,1,0,0
243588,2057960,Bruno Fernandes,Portugal,MID,1,0,0,1,0,0
142,2057961,K. El Ahmadi,Morocco,MID,0,0,0,2,0,0
3509,2057961,M. Shojaei,Iran,MID,0,0,0,1,0,0
25998,2057961,Y. Belhanda,Morocco,MID,3,0,0,0,2,1
26226,2057961,R. Saïss,Morocco,MID,1,0,0,0,0,0
101846,2057961,M. Boussoufa,Morocco,MID,0,0,0,2,1,2
221039,2057961,H. Ziyech,Morocco,MID,2,0,0,1,3,2
237836,2057961,V. Amiri,Iran,MID,0,0,0,1,3,0
285590,2057961,S. Amrabat,Morocco,MID,0,0,0,1,1,0
372915,2057961,A. Harit,Morocco,MID,3,0,0,1,0,0
142,2057962,K. El Ahmadi,Morocco,MID,1,0,0,0,1,0
25888,2057962,F. Fajr,Morocco,MID,0,0,0,1,0,0
25998,2057962,Y. Belhanda,Morocco,MID,3,0,0,1,0,1
70093,2057962,João Moutinho,Portugal,MID,0,0,1,1,0,2
101846,2057962,M. Boussoufa,Morocco,MID,1,0,0,4,0,1
101847,2057962,M. Carcela-González,Morocco,MID,0,0,0,2,1,0
149074,2057962,N. Dirar,Morocco,MID,1,0,0,4,14,0
221039,2057962,H. Ziyech,Morocco,MID,3,0,0,3,3,5
243588,2057962,Bruno Fernandes,Portugal,MID,2,0,0,2,0,1
265673,2057962,Bernardo Silva,Portugal,MID,0,0,0,1,0,2
3346,2057963,Sergio Busquets,Spain,MID,1,0,0,0,0,0
3353,2057963,Iniesta,Spain,MID,0,0,0,3,1,0
3563,2057963,Isco,Spain,MID,3,0,0,5,2,5
8317,2057963,David Silva,Spain,MID,4,0,0,2,1,1
78991,2057963,O. Ebrahimi,Iran,MID,0,0,0,2,0,0
237836,2057963,V. Amiri,Iran,MID,1,0,0,5,1,0
288091,2057963,Marco Asensio,Spain,MID,0,0,0,1,0,0
70403,2057964,Adrien Silva,Portugal,MID,1,0,0,1,0,0
70965,2057964,João Mário,Portugal,MID,1,0,0,1,0,0
78991,2057964,O. Ebrahimi,Iran,MID,0,0,0,1,0,0
237836,2057964,V. Amiri,Iran,MID,1,0,0,1,3,0
241647,2057964,S. Ezatolahi,Iran,MID,1,0,0,0,0,0
3345,2057965,Thiago Alcântara,Spain,MID,2,0,0,0,0,0
3346,2057965,Sergio Busquets,Spain,MID,1,0,0,0,0,0
3353,2057965,Iniesta,Spain,MID,2,0,1,3,0,0
3563,2057965,Isco,Spain,MID,2,1,0,3,1,3
8317,2057965,David Silva,Spain,MID,0,0,0,2,0,3
25888,2057965,F. Fajr,Morocco,MID,0,0,1,0,0,1
25998,2057965,Y. Belhanda,Morocco,MID,0,0,0,1,0,0
149074,2057965,N. Dirar,Morocco,MID,0,0,0,2,4,0
221039,2057965,H. Ziyech,Morocco,MID,2,0,0,0,3,0
288091,2057965,Marco Asensio,Spain,MID,1,0,0,0,0,1
54,2057967,C. Eriksen,Denmark,MID,2,0,1,4,0,7
405,2057967,L. Schöne,Denmark,MID,1,0,0,0,0,0
55990,2057967,T. Delaney,Denmark,MID,2,0,0,0,0,0
70156,2057967,A. Carrillo,Peru,MID,1,0,0,6,0,0
114723,2057967,Y. Yotún,Peru,MID,1,0,0,1,2,3
114762,2057967,É. Flores,Peru,MID,2,0,0,0,0,0
114813,2057967,C. Cueva,Peru,MID,0,0,0,3,0,0
139075,2057967,R. Tapia,Peru,MID,1,0,0,0,0,0
139078,2057967,P. Aquino,Peru,MID,0,0,0,1,0,0
241945,2057967,P. Sisto,Denmark,MID,1,0,0,1,0,0
7936,2057968,P. Pogba,France,MID,1,0,0,0,0,0
25437,2057968,B. Matuidi,France,MID,1,0,0,4,0,0
28115,2057968,N. Fekir,France,MID,0,0,0,1,1,0
70156,2057968,A. Carrillo,Peru,MID,1,0,0,5,0,0
114723,2057968,Y. Yotún,Peru,MID,1,0,0,1,0,0
114762,2057968,É. Flores,Peru,MID,2,0,0,3,0,0
114813,2057968,C. Cueva,Peru,MID,1,0,0,1,0,1
139078,2057968,P. Aquino,Peru,MID,1,0,0,0,0,0
54,2057970,C. Eriksen,Denmark,MID,2,0,0,0,0,4
28115,2057970,N. Fekir,France,MID,2,0,0,1,0,0
28922,2057970,T. Lemar,France,MID,1,0,0,0,0,1
31528,2057970,N. Kanté,France,MID,0,0,0,1,0,0
241945,2057970,P. Sisto,Denmark,MID,0,0,0,1,0,0
93,2057972,J. Guðmunds­son,Iceland,MID,1,0,0,1,0,0
3280,2057972,É. Banega,Argentina,MID,2,0,0,2,1,1
3314,2057972,Á. di María,Argentina,MID,0,0,0,6,2,4
3445,2057972,E. Salvio,Argentina,MID,1,0,0,4,6,0
21314,2057972,E. Hallfreðsson,Iceland,MID,0,0,0,1,0,0
37732,2057972,L. Biglia,Argentina,MID,2,0,0,0,0,0
38084,2057972,B. Bjarnason,Iceland,MID,1,0,0,1,0,0
77521,2057972,A. Gunnarsson,Iceland,MID,0,0,0,0,4,0
77558,2057972,G. Sigurðsson,Iceland,MID,3,0,0,4,0,2
146459,2057972,M. Meza,Argentina,MID,0,0,0,2,2,4
3476,2057973,I. Rakitić,Croatia,MID,1,0,0,2,1,2
7898,2057973,J. Obi Mikel,Nigeria,MID,0,0,0,2,0,0
8287,2057973,L. Modrić,Croatia,MID,0,1,0,1,0,4
8625,2057973,V. Moses,Nigeria,MID,3,0,0,4,0,5
14812,2057973,I. Perišić,Croatia,MID,1,0,0,2,0,0
69404,2057973,M. Kovačić,Croatia,MID,1,0,0,0,0,0
230020,2057973,A. Iwobi,Nigeria,MID,3,0,0,2,0,0
265366,2057973,W. Ndidi,Nigeria,MID,0,0,0,0,4,0
3445,2057974,E. Salvio,Argentina,MID,0,0,0,2,5,0
3476,2057974,I. Rakitić,Croatia,MID,3,1,0,0,0,0
8287,2057974,L. Modrić,Croatia,MID,2,1,0,0,0,2
14812,2057974,I. Perišić,Croatia,MID,1,0,0,5,1,0
69404,2057974,M. Kovačić,Croatia,MID,1,0,1,1,0,0
69968,2057974,M. Brozović,Croatia,MID,1,0,0,0,0,0
86234,2057974,E. Pérez,Argentina,MID,1,0,0,0,0,0
89073,2057974,M. Acuña,Argentina,MID,1,0,0,7,12,3
146459,2057974,M. Meza,Argentina,MID,3,0,0,0,1,1
7898,2057975,J. Obi Mikel,Nigeria,MID,0,0,0,3,0,0
8625,2057975,V. Moses,Nigeria,MID,3,0,1,3,10,0
38084,2057975,B. Bjarnason,Iceland,MID,2,0,0,1,0,0
77521,2057975,A. Gunnarsson,Iceland,MID,0,0,0,1,4,0
77558,2057975,G. Sigurðsson,Iceland,MID,1,0,0,2,0,5
230020,2057975,A. Iwobi,Nigeria,MID,1,0,0,0,0,0
265366,2057975,W. Ndidi,Nigeria,MID,2,0,0,2,1,0
3280,2057976,É. Banega,Argentina,MID,0,0,1,2,0,2
3314,2057976,Á. di María,Argentina,MID,1,0,0,1,1,0
8625,2057976,V. Moses,Nigeria,MID,0,1,0,1,12,0
146459,2057976,M. Meza,Argentina,MID,0,0,0,0,2,0
265366,2057976,W. Ndidi,Nigeria,MID,1,0,0,0,1,0
93,2057977,J. Guðmunds­son,Iceland,MID,2,0,0,1,0,4
3476,2057977,I. Rakitić,Croatia,MID,1,0,0,0,0,1
8287,2057977,L. Modrić,Croatia,MID,1,0,0,1,1,3
14812,2057977,I. Perišić,Croatia,MID,2,1,0,2,2,0
21314,2057977,E. Hallfreðsson,Iceland,MID,1,0,0,0,0,0
38084,2057977,B. Bjarnason,Iceland,MID,4,0,0,2,0,0
57480,2057977,A. Traustason,Iceland,MID,1,0,0,1,0,0
69400,2057977,M. Badelj,Croatia,MID,2,1,1,1,0,0
69404,2057977,M. Kovačić,Croatia,MID,1,0,0,0,0,1
77521,2057977,A. Gunnarsson,Iceland,MID,2,0,0,1,7,0
77558,2057977,G. Sigurðsson,Iceland,MID,1,1,0,3,1,6
14785,2057978,Renato Augusto,Brazil,MID,1,0,0,2,0,0
20938,2057978,V. Behrami,Switzerland,MID,0,0,0,0,1,0
21169,2057978,B. Džemaili,Switzerland,MID,3,0,0,0,0,0
40550,2057978,Paulinho,Brazil,MID,1,0,0,0,0,0
40756,2057978,Casemiro,Brazil,MID,1,0,0,2,0,0
49872,2057978,X. Shaqiri,Switzerland,MID,1,0,1,2,0,1
49997,2057978,S. Zuber,Switzerland,MID,2,1,0,0,1,0
105333,2057978,Willian,Brazil,MID,2,0,0,4,0,3
105339,2057978,Fernandinho,Brazil,MID,2,0,0,0,0,0
383,2057979,D. Tadić,Serbia,MID,0,0,0,4,0,0
11155,2057979,B. Ruiz,Costa Rica,MID,1,0,0,0,1,0
51004,2057979,C. Borges,Costa Rica,MID,1,0,0,1,0,0
55988,2057979,C. Bolaños,Costa Rica,MID,0,0,0,2,0,2
70122,2057979,N. Matić,Serbia,MID,1,0,0,0,0,0
125260,2057979,D. Guzmán,Costa Rica,MID,0,0,0,2,0,3
125452,2057979,J. Venegas,Costa Rica,MID,0,0,0,1,0,0
127537,2057979,L. Milivojević,Serbia,MID,0,0,0,0,1,0
127796,2057979,F. Kostić,Serbia,MID,1,0,0,1,0,0
265865,2057979,S. Milinković-Savić,Serbia,MID,2,0,0,0,0,0
11155,2057980,B. Ruiz,Costa Rica,MID,0,0,0,2,0,0
40550,2057980,Paulinho,Brazil,MID,0,0,0,2,0,0
40756,2057980,Casemiro,Brazil,MID,2,0,0,1,0,0
51004,2057980,C. Borges,Costa Rica,MID,1,0,0,0,0,0
55988,2057980,C. Bolaños,Costa Rica,MID,0,0,0,1,0,1
105333,2057980,Willian,Brazil,MID,1,0,0,1,0,1
105334,2057980,Douglas Costa,Brazil,MID,0,0,1,4,0,2
125452,2057980,J. Venegas,Costa Rica,MID,0,0,0,1,0,0
383,2057981,D. Tadić,Serbia,MID,2,0,1,4,0,2
21169,2057981,B. Džemaili,Switzerland,MID,2,0,0,0,0,0
49872,2057981,X. Shaqiri,Switzerland,MID,7,1,0,2,0,2
49876,2057981,G. Xhaka,Switzerland,MID,2,1,0,0,0,0
70122,2057981,N. Matić,Serbia,MID,1,0,0,1,0,0
127537,2057981,L. Milivojević,Serbia,MID,0,0,0,1,0,0
127796,2057981,F. Kostić,Serbia,MID,0,0,0,4,0,0
237274,2057981,N. Radonjić,Serbia,MID,0,0,0,1,0,0
265865,2057981,S. Milinković-Savić,Serbia,MID,1,0,0,1,0,0
383,2057982,D. Tadić,Serbia,MID,1,0,0,4,0,0
40550,2057982,Paulinho,Brazil,MID,1,1,0,2,0,0
40756,2057982,Casemiro,Brazil,MID,1,0,0,0,0,0
70122,2057982,N. Matić,Serbia,MID,1,0,0,0,1,0
