player_id,match_id,name,team,pos,shot,goal,assist,cross,throw,corner
101669,2057954,A. Dzyuba,Russia,FWD,1,1,0,0,0,0
101707,2057954,F. Smolov,Russia,FWD,0,0,0,1,1,0
122671,2057954,Mohammad Al Sahlawi,Saudi Arabia,FWD,2,0,0,0,0,0
7972,2057955,L. Suárez,Uruguay,FWD,3,0,0,0,0,0
21174,2057955,E. Cavani,Uruguay,FWD,4,0,0,2,0,0
120225,2057955,Marwan Mohsen,Egypt,FWD,1,0,0,0,1,0
101669,2057956,A. Dzyuba,Russia,FWD,2,1,0,0,0,0
120225,2057956,Marwan Mohsen,Egypt,FWD,3,0,0,0,1,0
120353,2057956,Mohamed Salah,Egypt,FWD,3,1,0,1,0,0
7972,2057957,L. Suárez,Uruguay,FWD,4,1,0,2,1,0
21174,2057957,E. Cavani,Uruguay,FWD,4,0,0,2,1,1
122623,2057957,Fahad Al Muwallad,Saudi Arabia,FWD,1,0,0,1,0,0
7972,2057958,L. Suárez,Uruguay,FWD,0,1,0,1,2,0
21174,2057958,E. Cavani,Uruguay,FWD,3,1,0,0,0,0
101669,2057958,A. Dzyuba,Russia,FWD,1,0,0,0,0,0
101707,2057958,F. Smolov,Russia,FWD,0,0,0,2,0,0
395636,2057958,Maxi Gómez,Uruguay,FWD,0,0,0,1,0,0
120353,2057959,Mohamed Salah,Egypt,FWD,2,1,0,1,0,0
122749,2057959,Muhannad Asiri,Saudi Arabia,FWD,1,0,0,0,0,0
3322,2057960,Cristiano Ronaldo,Portugal,FWD,1,3,0,0,1,0
3840,2057960,Iago Aspas,Spain,FWD,1,0,0,0,0,0
4338,2057960,Diego Costa,Spain,FWD,3,2,0,1,0,0
32597,2057960,Ricardo Quaresma,Portugal,FWD,2,0,0,2,0,3
237034,2057960,Gonçalo Guedes,Portugal,FWD,1,0,0,0,0,0
32968,2057961,N. Amrabat,Morocco,FWD,0,0,0,5,5,0
79006,2057961,S. Azmoun,Iran,FWD,2,0,0,0,0,0
79149,2057961,K. Ansarifard,Iran,FWD,0,0,0,2,0,0
79381,2057961,A. Jahanbakhsh,Iran,FWD,1,0,0,3,0,2
552555,2057961,A. El Kaabi,Morocco,FWD,1,0,0,0,0,0
3322,2057962,Cristiano Ronaldo,Portugal,FWD,4,1,0,1,0,0
29625,2057962,K. Boutaïb,Morocco,FWD,1,0,0,0,0,0
32968,2057962,N. Amrabat,Morocco,FWD,0,0,0,6,2,0
237034,2057962,Gonçalo Guedes,Portugal,FWD,1,0,0,0,0,0
4338,2057963,Diego Costa,Spain,FWD,1,1,0,0,0,0
4498,2057963,Lucas Vázquez,Spain,FWD,0,0,0,4,2,0
79149,2057963,K. Ansarifard,Iran,FWD,2,0,0,0,0,2
79320,2057963,M. Taremi,Iran,FWD,2,0,0,1,1,0
3322,2057964,Cristiano Ronaldo,Portugal,FWD,3,0,0,0,1,0
32597,2057964,Ricardo Quaresma,Portugal,FWD,2,1,0,7,1,5
53562,2057964,S. Ghoddos,Iran,FWD,2,0,0,0,0,0
79149,2057964,K. Ansarifard,Iran,FWD,0,1,0,0,0,0
79320,2057964,M. Taremi,Iran,FWD,1,0,0,0,0,0
79381,2057964,A. Jahanbakhsh,Iran,FWD,0,0,0,1,1,1
135927,2057964,André Silva,Portugal,FWD,1,0,0,1,0,0
3840,2057965,Iago Aspas,Spain,FWD,1,1,0,1,0,0
4338,2057965,Diego Costa,Spain,FWD,1,0,0,0,0,0
29625,2057965,K. Boutaïb,Morocco,FWD,2,1,0,0,0,0
32968,2057965,N. Amrabat,Morocco,FWD,1,0,0,1,0,0
70129,2057965,Rodrigo,Spain,FWD,1,0,0,1,0,0
447821,2057965,Y. En-Nesyri,Morocco,FWD,1,1,0,0,0,0
14872,2057967,J. Farfán,Peru,FWD,3,0,0,0,0,0
14909,2057967,P. Guerrero,Peru,FWD,2,0,0,0,0,0
15080,2057967,N. Jørgensen,Denmark,FWD,1,0,0,3,0,0
56274,2057967,Y. Poulsen,Denmark,FWD,2,1,0,0,0,0
3682,2057968,A. Griezmann,France,FWD,2,0,0,2,1,2
14872,2057968,J. Farfán,Peru,FWD,1,0,0,1,0,0
14909,2057968,P. Guerrero,Peru,FWD,1,0,0,1,0,0
