player_id,match_id,name,team,pos,assist,cross
4513,2057954,D. Cheryshev,Russia,MID,0,4
41123,2057954,Mário Fernandes,Russia,DEF,0,1
101699,2057954,A. Samedov,Russia,MID,0,1
101707,2057954,F. Smolov,Russia,FWD,0,1
101857,2057954,Y. Zhirkov,Russia,MID,0,1
103682,2057954,R. Zobnin,Russia,MID,0,1
122615,2057954,Hattan Bahbir,Saudi Arabia,MID,0,1
122940,2057954,Yasir Al Shahrani,Saudi Arabia,DEF,0,1
257800,2057954,A. Golovin,Russia,MID,2,3
292954,2057954,Mohammed Al Burayk,Saudi Arabia,DEF,0,2
20460,2057955,M. Cáceres,Uruguay,DEF,0,3
21174,2057955,E. Cavani,Uruguay,FWD,0,2
70095,2057955,C. Rodríguez,Uruguay,MID,0,2
86340,2057955,C. Sánchez,Uruguay,MID,1,3
116166,2057955,G. Varela,Uruguay,DEF,0,2
119932,2057955,Mahmoud Kahraba,Egypt,MID,0,2
119975,2057955,Mohamed Abdel-Shafi,Egypt,DEF,0,1
120156,2057955,Ahmed Fathy,Egypt,DEF,0,5
213364,2057955,G. De Arrascaeta,Uruguay,MID,0,2
220112,2057955,Trézéguet,Egypt,MID,0,1
299618,2057955,N. Nández,Uruguay,MID,0,3
388928,2057955,Amr Warda,Egypt,MID,0,3
4513,2057956,D. Cheryshev,Russia,MID,0,4
41123,2057956,Mário Fernandes,Russia,DEF,1,3
101699,2057956,A. Samedov,Russia,MID,0,4
101857,2057956,Y. Zhirkov,Russia,MID,0,4
102157,2057956,Y. Gazinskiy,Russia,MID,0,2
103668,2057956,I. Kutepov,Russia,DEF,1,0
103682,2057956,R. Zobnin,Russia,MID,0,2
119975,2057956,Mohamed Abdel-Shafi,Egypt,DEF,0,2
120156,2057956,Ahmed Fathy,Egypt,DEF,0,7
120167,2057956,Abdallah Said,Egypt,MID,0,1
120353,2057956,Mohamed Salah,Egypt,FWD,0,1
198120,2057956,Ali Gabr,Egypt,DEF,0,1
220112,2057956,Trézéguet,Egypt,MID,0,2
257800,2057956,A. Golovin,Russia,MID,0,5
388928,2057956,Amr Warda,Egypt,MID,0,4
7972,2057957,L. Suárez,Uruguay,FWD,0,2
20460,2057957,M. Cáceres,Uruguay,DEF,0,2
21174,2057957,E. Cavani,Uruguay,FWD,0,2
70095,2057957,C. Rodríguez,Uruguay,MID,0,2
86340,2057957,C. Sánchez,Uruguay,MID,1,2
116166,2057957,G. Varela,Uruguay,DEF,0,1
122615,2057957,Hattan Bahbir,Saudi Arabia,MID,0,1
122623,2057957,Fahad Al Muwallad,Saudi Arabia,FWD,0,1
122832,2057957,Salem Al Dawsari,Saudi Arabia,MID,0,1
122847,2057957,Salman Al Faraj,Saudi Arabia,MID,0,3
122940,2057957,Yasir Al Shahrani,Saudi Arabia,DEF,0,2
292954,2057957,Mohammed Al Burayk,Saudi Arabia,DEF,0,7
4513,2057958,D. Cheryshev,Russia,MID,0,3
7972,2057958,L. Suárez,Uruguay,FWD,0,1
20460,2057958,M. Cáceres,Uruguay,DEF,0,2
41123,2057958,Mário Fernandes,Russia,DEF,0,1
70095,2057958,C. Rodríguez,Uruguay,MID,0,1
101647,2057958,F. Kudryashov,Russia,DEF,0,1
101699,2057958,A. Samedov,Russia,MID,0,1
101707,2057958,F. Smolov,Russia,FWD,0,2
103682,2057958,R. Zobnin,Russia,MID,0,2
116269,2057958,D. Laxalt,Uruguay,MID,0,3
213364,2057958,G. De Arrascaeta,Uruguay,MID,0,2
395636,2057958,Maxi Gómez,Uruguay,FWD,0,1
119951,2057959,Ahmed Hegazy,Egypt,DEF,0,1
119975,2057959,Mohamed Abdel-Shafi,Egypt,DEF,0,2
120156,2057959,Ahmed Fathy,Egypt,DEF,0,2
120167,2057959,Abdallah Said,Egypt,MID,1,1
120353,2057959,Mohamed Salah,Egypt,FWD,0,1
122615,2057959,Hattan Bahbir,Saudi Arabia,MID,0,2
122847,2057959,Salman Al Faraj,Saudi Arabia,MID,0,5
122918,2057959,Hussain Al Mogahwi,Saudi Arabia,MID,0,3
122940,2057959,Yasir Al Shahrani,Saudi Arabia,DEF,0,7
139393,2057959,Abdullah Otayf,Saudi Arabia,MID,1,0
220112,2057959,Trézéguet,Egypt,MID,0,1
292954,2057959,Mohammed Al Burayk,Saudi Arabia,DEF,0,5
388928,2057959,Amr Warda,Egypt,MID,0,2
3269,2057960,Jordi Alba,Spain,DEF,0,4
3304,2057960,Nacho,Spain,DEF,0,2
3346,2057960,Sergio Busquets,Spain,MID,1,0
3443,2057960,Koke,Spain,MID,0,1
3563,2057960,Isco,Spain,MID,0,5
4338,2057960,Diego Costa,Spain,FWD,0,1
28907,2057960,Raphaël Guerreiro,Portugal,DEF,0,5
32597,2057960,Ricardo Quaresma,Portugal,FWD,0,2
70093,2057960,João Moutinho,Portugal,MID,0,1
70389,2057960,Cédric Soares,Portugal,DEF,0,2
70965,2057960,João Mário,Portugal,MID,0,1
243588,2057960,Bruno Fernandes,Portugal,MID,0,1
142,2057961,K. El Ahmadi,Morocco,MID,0,2
3509,2057961,M. Shojaei,Iran,MID,0,1
32968,2057961,N. Amrabat,Morocco,FWD,0,5
79149,2057961,K. Ansarifard,Iran,FWD,0,2
79248,2057961,E. Hajsafi,Iran,DEF,0,2
79381,2057961,A. Jahanbakhsh,Iran,FWD,0,3
101846,2057961,M. Boussoufa,Morocco,MID,0,2
221039,2057961,H. Ziyech,Morocco,MID,0,1
237836,2057961,V. Amiri,Iran,MID,0,1
285590,2057961,S. Amrabat,Morocco,MID,0,1
372915,2057961,A. Harit,Morocco,MID,0,1
396475,2057961,A. Hakimi,Morocco,DEF,0,2
3305,2057962,Pepe,Portugal,DEF,0,1
3322,2057962,Cristiano Ronaldo,Portugal,FWD,0,1
25888,2057962,F. Fajr,Morocco,MID,0,1
25998,2057962,Y. Belhanda,Morocco,MID,0,1
28907,2057962,Raphaël Guerreiro,Portugal,DEF,0,1
32968,2057962,N. Amrabat,Morocco,FWD,0,6
70093,2057962,João Moutinho,Portugal,MID,1,1
70389,2057962,Cédric Soares,Portugal,DEF,0,1
101846,2057962,M. Boussoufa,Morocco,MID,0,4
101847,2057962,M. Carcela-González,Morocco,MID,0,2
149074,2057962,N. Dirar,Morocco,MID,0,4
221039,2057962,H. Ziyech,Morocco,MID,0,3
243588,2057962,Bruno Fernandes,Portugal,MID,0,2
265673,2057962,Bernardo Silva,Portugal,MID,0,1
396475,2057962,A. Hakimi,Morocco,DEF,0,2
3269,2057963,Jordi Alba,Spain,DEF,0,7
3353,2057963,Iniesta,Spain,MID,0,3
3563,2057963,Isco,Spain,MID,0,5
4498,2057963,Lucas Vázquez,Spain,FWD,0,4
4501,2057963,Daniel Carvajal,Spain,DEF,0,3
8317,2057963,David Silva,Spain,MID,0,2
78991,2057963,O. Ebrahimi,Iran,MID,0,2
79098,2057963,R. Rezaeian,Iran,DEF,0,3
79320,2057963,M. Taremi,Iran,FWD,0,1
237836,2057963,V. Amiri,Iran,MID,0,5
288091,2057963,Marco Asensio,Spain,MID,0,1
28907,2057964,Raphaël Guerreiro,Portugal,DEF,0,4
32597,2057964,Ricardo Quaresma,Portugal,FWD,0,7
70389,2057964,Cédric Soares,Portugal,DEF,0,2
70403,2057964,Adrien Silva,Portugal,MID,0,1
70965,2057964,João Mário,Portugal,MID,0,1
78991,2057964,O. Ebrahimi,Iran,MID,0,1
79098,2057964,R. Rezaeian,Iran,DEF,0,4
79381,2057964,A. Jahanbakhsh,Iran,FWD,0,1
135927,2057964,André Silva,Portugal,FWD,0,1
237836,2057964,V. Amiri,Iran,MID,0,1
3269,2057965,Jordi Alba,Spain,DEF,0,2
3353,2057965,Iniesta,Spain,MID,1,3
3563,2057965,Isco,Spain,MID,0,3
3840,2057965,Iago Aspas,Spain,FWD,0,1
4501,2057965,Daniel Carvajal,Spain,DEF,1,6
8317,2057965,David Silva,Spain,MID,0,2
25888,2057965,F. Fajr,Morocco,MID,1,0
25998,2057965,Y. Belhanda,Morocco,MID,0,1
32968,2057965,N. Amrabat,Morocco,FWD,0,1
70129,2057965,Rodrigo,Spain,FWD,0,1
149074,2057965,N. Dirar,Morocco,MID,0,2
396475,2057965,A. Hakimi,Morocco,DEF,0,1
54,2057967,C. Eriksen,Denmark,MID,1,4
15080,2057967,N. Jørgensen,Denmark,FWD,0,3
56394,2057967,H. Dalsgaard,Denmark,DEF,0,2
70156,2057967,A. Carrillo,Peru,MID,0,6
114723,2057967,Y. Yotún,Peru,MID,0,1
114813,2057967,C. Cueva,Peru,MID,0,3
115146,2057967,M. Trauco,Peru,DEF,0,5
139078,2057967,P. Aquino,Peru,MID,0,1
241945,2057967,P. Sisto,Denmark,MID,0,1
3682,2057968,A. Griezmann,France,FWD,0,2
14872,2057968,J. Farfán,Peru,FWD,0,1
14909,2057968,P. Guerrero,Peru,FWD,0,1
25437,2057968,B. Matuidi,France,MID,0,4
26010,2057968,O. Giroud,France,FWD,0,1
28115,2057968,N. Fekir,France,MID,0,1
70156,2057968,A. Carrillo,Peru,MID,0,5
114709,2057968,L. Advíncula,Peru,DEF,0,3
114723,2057968,Y. Yotún,Peru,MID,0,1
114762,2057968,É. Flores,Peru,MID,0,3
114813,2057968,C. Cueva,Peru,MID,0,1
115146,2057968,M. Trauco,Peru,DEF,0,1
286390,2057968,O. Dembélé,France,FWD,0,2
353833,2057968,K. Mbappé,France,FWD,0,2
3682,2057970,A. Griezmann,France,FWD,0,3
26136,2057970,B. Mendy,France,DEF,0,8
26196,2057970,D. Sidibé,France,DEF,0,6
28115,2057970,N. Fekir,France,MID,0,1
31528,2057970,N. Kanté,France,MID,0,1
55968,2057970,M. Braithwaite,Denmark,FWD,0,1
56394,2057970,H. Dalsgaard,Denmark,DEF,0,1
135150,2057970,A. Cornelius,Denmark,FWD,0,1
241945,2057970,P. Sisto,Denmark,MID,0,1
279545,2057970,L. Hernández,France,DEF,0,2
286390,2057970,O. Dembélé,France,FWD,0,1
93,2057972,J. Guðmunds­son,Iceland,MID,0,1
3280,2057972,É. Banega,Argentina,MID,0,2
3314,2057972,Á. di María,Argentina,MID,0,6
3323,2057972,G. Higuaín,Argentina,FWD,0,1
3445,2057972,E. Salvio,Argentina,MID,0,4
8325,2057972,S. Agüero,Argentina,FWD,0,1
21314,2057972,E. Hallfreðsson,Iceland,MID,0,1
38084,2057972,B. Bjarnason,Iceland,MID,0,1
77558,2057972,G. Sigurðsson,Iceland,MID,0,4
86722,2057972,N. Tagliafico,Argentina,DEF,0,1
135207,2057972,H. Magnússon,Iceland,DEF,0,2
146459,2057972,M. Meza,Argentina,MID,0,2
285396,2057972,C. Pavón,Argentina,FWD,0,2
3476,2057973,I. Rakitić,Croatia,MID,0,2
5295,2057973,O. Ighalo,Nigeria,FWD,0,1
7898,2057973,J. Obi Mikel,Nigeria,MID,0,2
8287,2057973,L. Modrić,Croatia,MID,0,1
8625,2057973,V. Moses,Nigeria,MID,0,4
14812,2057973,I. Perišić,Croatia,MID,0,2
69409,2057973,Š. Vrsaljko,Croatia,DEF,0,3
69411,2057973,A. Kramarić,Croatia,FWD,0,2
69616,2057973,A. Rebić,Croatia,FWD,0,4
101606,2057973,A. Musa,Nigeria,FWD,0,1
209792,2057973,B. Idowu,Nigeria,DEF,0,2
230020,2057973,A. Iwobi,Nigeria,MID,0,2
285508,2057973,K. Iheanacho,Nigeria,FWD,0,1
3445,2057974,E. Salvio,Argentina,MID,0,2
8325,2057974,S. Agüero,Argentina,FWD,0,1
14812,2057974,I. Perišić,Croatia,MID,0,5
14943,2057974,M. Mandžukić,Croatia,FWD,0,1
69404,2057974,M. Kovačić,Croatia,MID,1,1
69409,2057974,Š. Vrsaljko,Croatia,DEF,0,2
69411,2057974,A. Kramarić,Croatia,FWD,0,1
89073,2057974,M. Acuña,Argentina,MID,0,7
89186,2057974,P. Dybala,Argentina,FWD,0,1
285396,2057974,C. Pavón,Argentina,FWD,0,2
7898,2057975,J. Obi Mikel,Nigeria,MID,0,3
8625,2057975,V. Moses,Nigeria,MID,1,3
38084,2057975,B. Bjarnason,Iceland,MID,0,1
54451,2057975,B. Sævarsson,Iceland,DEF,0,5
56146,2057975,R. Gíslason,Iceland,FWD,0,2
58105,2057975,J. Böðvarsson,Iceland,FWD,0,1
77521,2057975,A. Gunnarsson,Iceland,MID,0,1
77558,2057975,G. Sigurðsson,Iceland,MID,0,2
101606,2057975,A. Musa,Nigeria,FWD,0,2
135207,2057975,H. Magnússon,Iceland,DEF,0,3
209792,2057975,B. Idowu,Nigeria,DEF,0,2
265366,2057975,W. Ndidi,Nigeria,MID,0,2
424624,2057975,O. Etebo,Nigeria,FWD,0,3
3280,2057976,É. Banega,Argentina,MID,1,2
3314,2057976,Á. di María,Argentina,MID,0,1
3323,2057976,G. Higuaín,Argentina,FWD,0,1
3359,2057976,L. Messi,Argentina,FWD,0,3
8625,2057976,V. Moses,Nigeria,MID,0,1
86220,2057976,G. Mercado,Argentina,DEF,1,4
86722,2057976,N. Tagliafico,Argentina,DEF,0,1
101606,2057976,A. Musa,Nigeria,FWD,0,4
285396,2057976,C. Pavón,Argentina,FWD,0,3
285508,2057976,K. Iheanacho,Nigeria,FWD,0,1
93,2057977,J. Guðmunds­son,Iceland,MID,0,1
8287,2057977,L. Modrić,Croatia,MID,0,1
14812,2057977,I. Perišić,Croatia,MID,0,2
37948,2057977,A. Finnbogason,Iceland,FWD,0,2
38084,2057977,B. Bjarnason,Iceland,MID,0,2
54451,2057977,B. Sævarsson,Iceland,DEF,0,1
57480,2057977,A. Traustason,Iceland,MID,0,1
69400,2057977,M. Badelj,Croatia,MID,1,1
69964,2057977,J. Pivarić,Croatia,DEF,0,2
77521,2057977,A. Gunnarsson,Iceland,MID,0,1
77558,2057977,G. Sigurðsson,Iceland,MID,0,3
135207,2057977,H. Magnússon,Iceland,DEF,0,2
135810,2057977,M. Pjaca,Croatia,FWD,0,1
212604,2057977,T. Jedvaj,Croatia,DEF,0,2
216568,2057977,A. Gudmundsson,Iceland,FWD,0,1
3310,2057978,Marcelo,Brazil,DEF,0,4
14785,2057978,Renato Augusto,Brazil,MID,0,2
14922,2057978,R. Rodríguez,Switzerland,DEF,0,4
20465,2057978,S. Lichtsteiner,Switzerland,DEF,0,4
40756,2057978,Casemiro,Brazil,MID,0,2
40810,2057978,Neymar,Brazil,FWD,0,2
49872,2057978,X. Shaqiri,Switzerland,MID,1,2
70083,2057978,Danilo,Brazil,DEF,0,1
105333,2057978,Willian,Brazil,MID,0,4
340386,2057978,Gabriel Jesus,Brazil,FWD,0,2
383,2057979,D. Tadić,Serbia,MID,0,4
7891,2057979,B. Ivanović,Serbia,DEF,0,5
8306,2057979,A. Kolarov,Serbia,DEF,0,1
20941,2057979,A. Ljajić,Serbia,FWD,0,2
26038,2057979,J. Campbell,Costa Rica,FWD,0,1
51004,2057979,C. Borges,Costa Rica,MID,0,1
55977,2057979,C. Gamboa,Costa Rica,DEF,0,2
55988,2057979,C. Bolaños,Costa Rica,MID,0,2
101796,2057979,M. Ureña,Costa Rica,FWD,0,1
125250,2057979,Ó. Duarte,Costa Rica,DEF,0,1
125260,2057979,D. Guzmán,Costa Rica,MID,0,2
125273,2057979,D. Colindres,Costa Rica,FWD,0,1
125452,2057979,J. Venegas,Costa Rica,MID,0,1
125512,2057979,F. Calvo,Costa Rica,DEF,0,3
127796,2057979,F. Kostić,Serbia,MID,0,1
128214,2057979,A. Mitrović,Serbia,FWD,0,1
3310,2057980,Marcelo,Brazil,DEF,0,7
11155,2057980,B. Ruiz,Costa Rica,MID,0,2
20394,2057980,Thiago Silva,Brazil,DEF,0,1
40550,2057980,Paulinho,Brazil,MID,0,2
40707,2057980,Fágner,Brazil,DEF,0,5
40756,2057980,Casemiro,Brazil,MID,0,1
40810,2057980,Neymar,Brazil,FWD,0,6
55977,2057980,C. Gamboa,Costa Rica,DEF,0,2
55988,2057980,C. Bolaños,Costa Rica,MID,0,1
105333,2057980,Willian,Brazil,MID,0,1
105334,2057980,Douglas Costa,Brazil,MID,1,4
125452,2057980,J. Venegas,Costa Rica,MID,0,1
340386,2057980,Gabriel Jesus,Brazil,FWD,1,0
383,2057981,D. Tadić,Serbia,MID,1,4
7891,2057981,B. Ivanović,Serbia,DEF,0,3
8306,2057981,A. Kolarov,Serbia,DEF,0,2
14922,2057981,R. Rodríguez,Switzerland,DEF,0,6
20465,2057981,S. Lichtsteiner,Switzerland,DEF,0,1
49872,2057981,X. Shaqiri,Switzerland,MID,0,2
