player_id,match_id,assist,cross
4513,2057954,0,4
41123,2057954,0,1
101699,2057954,0,1
101707,2057954,0,1
101857,2057954,0,1
103682,2057954,0,1
122615,2057954,0,1
122940,2057954,0,1
257800,2057954,2,3
292954,2057954,0,2
20460,2057955,0,3
21174,2057955,0,2
70095,2057955,0,2
86340,2057955,1,3
116166,2057955,0,2
119932,2057955,0,2
119975,2057955,0,1
120156,2057955,0,5
213364,2057955,0,2
220112,2057955,0,1
299618,2057955,0,3
388928,2057955,0,3
4513,2057956,0,4
41123,2057956,1,3
101699,2057956,0,4
101857,2057956,0,4
102157,2057956,0,2
103668,2057956,1,0
103682,2057956,0,2
119975,2057956,0,2
120156,2057956,0,7
120167,2057956,0,1
120353,2057956,0,1
198120,2057956,0,1
220112,2057956,0,2
257800,2057956,0,5
388928,2057956,0,4
7972,2057957,0,2
20460,2057957,0,2
21174,2057957,0,2
70095,2057957,0,2
86340,2057957,1,2
116166,2057957,0,1
122615,2057957,0,1
122623,2057957,0,1
122832,2057957,0,1
122847,2057957,0,3
122940,2057957,0,2
292954,2057957,0,7
4513,2057958,0,3
7972,2057958,0,1
20460,2057958,0,2
41123,2057958,0,1
70095,2057958,0,1
101647,2057958,0,1
101699,2057958,0,1
101707,2057958,0,2
103682,2057958,0,2
116269,2057958,0,3
213364,2057958,0,2
395636,2057958,0,1
119951,2057959,0,1
119975,2057959,0,2
120156,2057959,0,2
120167,2057959,1,1
120353,2057959,0,1
122615,2057959,0,2
122847,2057959,0,5
122918,2057959,0,3
122940,2057959,0,7
139393,2057959,1,0
220112,2057959,0,1
292954,2057959,0,5
388928,2057959,0,2
3269,2057960,0,4
3304,2057960,0,2
3346,2057960,1,0
3443,2057960,0,1
3563,2057960,0,5
4338,2057960,0,1
28907,2057960,0,5
32597,2057960,0,2
70093,2057960,0,1
70389,2057960,0,2
70965,2057960,0,1
243588,2057960,0,1
142,2057961,0,2
3509,2057961,0,1
32968,2057961,0,5
79149,2057961,0,2
79248,2057961,0,2
79381,2057961,0,3
101846,2057961,0,2
221039,2057961,0,1
237836,2057961,0,1
285590,2057961,0,1
372915,2057961,0,1
396475,2057961,0,2
3305,2057962,0,1
3322,2057962,0,1
25888,2057962,0,1
25998,2057962,0,1
28907,2057962,0,1
32968,2057962,0,6
70093,2057962,1,1
70389,2057962,0,1
101846,2057962,0,4
101847,2057962,0,2
149074,2057962,0,4
221039,2057962,0,3
243588,2057962,0,2
265673,2057962,0,1
396475,2057962,0,2
3269,2057963,0,7
3353,2057963,0,3
3563,2057963,0,5
4498,2057963,0,4
4501,2057963,0,3
8317,2057963,0,2
78991,2057963,0,2
79098,2057963,0,3
79320,2057963,0,1
237836,2057963,0,5
288091,2057963,0,1
28907,2057964,0,4
32597,2057964,0,7
70389,2057964,0,2
70403,2057964,0,1
70965,2057964,0,1
78991,2057964,0,1
79098,2057964,0,4
79381,2057964,0,1
