player_id,match_id,name,team,pos
101669,2057958,A. Dzyuba,Russia,FWD
101699,2057958,A. Samedov,Russia,MID
101707,2057958,F. Smolov,Russia,FWD
101825,2057958,I. Smolnikov,Russia,DEF
102157,2057958,Y. Gazinskiy,Russia,MID
103668,2057958,I. Kutepov,Russia,DEF
103682,2057958,R. Zobnin,Russia,MID
116269,2057958,D. Laxalt,Uruguay,MID
116349,2057958,M. Vecino,Uruguay,MID
213364,2057958,G. De Arrascaeta,Uruguay,MID
220971,2057958,D. Kuzyaev,Russia,MID
262048,2057958,Al. Miranchuk,Russia,MID
299618,2057958,N. Nández,Uruguay,MID
333571,2057958,L. Torreira,Uruguay,MID
361807,2057958,R. Bentancur,Uruguay,MID
395636,2057958,Maxi Gómez,Uruguay,FWD
119932,2057959,Mahmoud Kahraba,Egypt,MID
119951,2057959,Ahmed Hegazy,Egypt,DEF
119975,2057959,Mohamed Abdel-Shafi,Egypt,DEF
120156,2057959,Ahmed Fathy,Egypt,DEF
120167,2057959,Abdallah Said,Egypt,MID
120225,2057959,Marwan Mohsen,Egypt,FWD
120269,2057959,Essam El Hadary,Egypt,GKP
120339,2057959,Mohamed Elneny,Egypt,MID
120353,2057959,Mohamed Salah,Egypt,FWD
122562,2057959,Yasser Al Mosailem,Saudi Arabia,GKP
122615,2057959,Hattan Bahbir,Saudi Arabia,MID
122623,2057959,Fahad Al Muwallad,Saudi Arabia,FWD
122749,2057959,Muhannad Asiri,Saudi Arabia,FWD
122832,2057959,Salem Al Dawsari,Saudi Arabia,MID
122839,2057959,Osama Hawsawi,Saudi Arabia,DEF
122847,2057959,Salman Al Faraj,Saudi Arabia,MID
122888,2057959,Yahya Al Shehri,Saudi Arabia,MID
122918,2057959,Hussain Al Mogahwi,Saudi Arabia,MID
122940,2057959,Yasir Al Shahrani,Saudi Arabia,DEF
139391,2057959,Motaz Hawsawi,Saudi Arabia,DEF
139393,2057959,Abdullah Otayf,Saudi Arabia,MID
198120,2057959,Ali Gabr,Egypt,DEF
220112,2057959,Trézéguet,Egypt,MID
292954,2057959,Mohammed Al Burayk,Saudi Arabia,DEF
332605,2057959,Ramadan Sobhi,Egypt,MID
388928,2057959,Amr Warda,Egypt,MID
437417,2057959,Tarek Hamed,Egypt,MID
3269,2057960,Jordi Alba,Spain,DEF
3304,2057960,Nacho,Spain,DEF
3305,2057960,Pepe,Portugal,DEF
3306,2057960,Sergio Ramos,Spain,DEF
3322,2057960,Cristiano Ronaldo,Portugal,FWD
3341,2057960,Piqué,Spain,DEF
3345,2057960,Thiago Alcântara,Spain,MID
3346,2057960,Sergio Busquets,Spain,MID
3353,2057960,Iniesta,Spain,MID
3443,2057960,Koke,Spain,MID
3563,2057960,Isco,Spain,MID
3840,2057960,Iago Aspas,Spain,FWD
4338,2057960,Diego Costa,Spain,FWD
4498,2057960,Lucas Vázquez,Spain,FWD
7910,2057960,David de Gea,Spain,GKP
8126,2057960,José Fonte,Portugal,DEF
8317,2057960,David Silva,Spain,MID
28907,2057960,Raphaël Guerreiro,Portugal,DEF
32597,2057960,Ricardo Quaresma,Portugal,FWD
37762,2057960,William Carvalho,Portugal,MID
70093,2057960,João Moutinho,Portugal,MID
70134,2057960,Rui Patrício,Portugal,GKP
70389,2057960,Cédric Soares,Portugal,DEF
70403,2057960,Adrien Silva,Portugal,MID
70965,2057960,João Mário,Portugal,MID
237034,2057960,Gonçalo Guedes,Portugal,FWD
243588,2057960,Bruno Fernandes,Portugal,MID
265673,2057960,Bernardo Silva,Portugal,MID
142,2057961,K. El Ahmadi,Morocco,MID
3509,2057961,M. Shojaei,Iran,MID
6509,2057961,Munir,Morocco,GKP
20579,2057961,M. Benatia,Morocco,DEF
25998,2057961,Y. Belhanda,Morocco,MID
26226,2057961,R. Saïss,Morocco,MID
32968,2057961,N. Amrabat,Morocco,FWD
53562,2057961,S. Ghoddos,Iran,FWD
78991,2057961,O. Ebrahimi,Iran,MID
79006,2057961,S. Azmoun,Iran,FWD
79098,2057961,R. Rezaeian,Iran,DEF
79149,2057961,K. Ansarifard,Iran,FWD
79248,2057961,E. Hajsafi,Iran,DEF
79320,2057961,M. Taremi,Iran,FWD
79381,2057961,A. Jahanbakhsh,Iran,FWD
