player_id,match_id,throw,corner
41123,2057954,16,0
101699,2057954,1,0
101707,2057954,1,0
101857,2057954,10,4
122577,2057954,1,0
122615,2057954,1,0
122847,2057954,2,2
122940,2057954,15,0
257800,2057954,1,2
292954,2057954,11,0
20460,2057955,7,0
86340,2057955,1,3
116166,2057955,9,0
119975,2057955,12,0
120156,2057955,11,0
120225,2057955,1,0
213364,2057955,0,2
220112,2057955,1,0
4513,2057956,3,1
41123,2057956,14,0
101647,2057956,3,0
101699,2057956,0,6
101857,2057956,7,0
119975,2057956,15,0
120156,2057956,11,0
120167,2057956,0,4
120225,2057956,1,0
198120,2057956,1,0
388928,2057956,1,0
7972,2057957,1,0
20460,2057957,8,0
21174,2057957,1,1
86340,2057957,0,1
116166,2057957,9,0
116269,2057957,2,0
122577,2057957,1,1
122615,2057957,0,1
122847,2057957,1,2
122940,2057957,11,0
292954,2057957,10,0
333571,2057957,0,1
4513,2057958,1,1
7972,2057958,2,0
20460,2057958,11,0
41123,2057958,6,0
101647,2057958,6,0
101699,2057958,0,1
101825,2057958,1,0
116269,2057958,10,0
213364,2057958,0,3
333571,2057958,0,1
119975,2057959,5,0
120156,2057959,11,0
122615,2057959,0,1
122832,2057959,0,1
122847,2057959,4,5
122940,2057959,4,0
292954,2057959,6,0
388928,2057959,0,2
3269,2057960,8,0
3304,2057960,11,0
3322,2057960,1,0
3443,2057960,0,1
3563,2057960,2,3
8317,2057960,0,1
28907,2057960,11,0
32597,2057960,0,3
70093,2057960,1,1
70389,2057960,4,0
20579,2057961,1,0
25998,2057961,2,1
32968,2057961,5,0
79098,2057961,15,0
79248,2057961,10,0
79381,2057961,0,2
101846,2057961,1,2
221039,2057961,3,2
237836,2057961,3,0
285590,2057961,1,0
396475,2057961,6,0
142,2057962,1,0
25998,2057962,0,1
28907,2057962,7,0
32968,2057962,2,0
70093,2057962,0,2
70389,2057962,6,0
101846,2057962,0,1
101847,2057962,1,0
149074,2057962,14,0
221039,2057962,3,5
243588,2057962,0,1
265673,2057962,0,2
396475,2057962,11,0
3269,2057963,5,0
3306,2057963,2,0
3353,2057963,1,0
3563,2057963,2,5
4498,2057963,2,0
4501,2057963,9,0
8317,2057963,1,1
79098,2057963,6,0
79149,2057963,0,2
79248,2057963,4,0
79320,2057963,1,0
237836,2057963,1,0
333803,2057963,4,0
3322,2057964,1,0
28907,2057964,8,0
32597,2057964,1,5
70389,2057964,14,0
79098,2057964,7,0
79248,2057964,1,0
79381,2057964,1,1
237836,2057964,3,0
3269,2057965,6,0
3563,2057965,1,3
4501,2057965,14,0
8317,2057965,0,3
25888,2057965,0,1
149074,2057965,4,0
221039,2057965,3,0
288091,2057965,0,1
396475,2057965,3,0
54,2057967,0,7
56026,2057967,4,0
56394,2057967,12,0
114709,2057967,7,0
114723,2057967,2,3
115146,2057967,10,0
3682,2057968,1,2
28115,2057968,1,0
114709,2057968,11,0
114813,2057968,0,1
115146,2057968,17,2
279545,2057968,12,0
286390,2057968,0,2
340646,2057968,12,0
353833,2057968,0,1
54,2057970,0,4
26136,2057970,3,0
26196,2057970,7,0
28922,2057970,0,1
56026,2057970,6,0
56394,2057970,12,0
279545,2057970,10,0
286390,2057970,0,1
3280,2057972,1,1
3314,2057972,2,4
3323,2057972,1,0
3359,2057972,0,1
3445,2057972,6,0
54451,2057972,1,0
70086,2057972,1,0
77521,2057972,4,0
77558,2057972,0,2
86722,2057972,3,0
135207,2057972,7,0
146459,2057972,2,4
3476,2057973,1,2
8287,2057973,0,4
8625,2057973,0,5
69409,2057973,6,0
105361,2057973,5,0
209792,2057973,3,0
265366,2057973,4,0
265368,2057973,8,0
424624,2057973,1,0
3323,2057974,1,0
3445,2057974,5,0
8287,2057974,0,2
14812,2057974,1,0
69409,2057974,8,0
86220,2057974,5,0
86722,2057974,2,0
89073,2057974,12,3
105361,2057974,14,0
146459,2057974,1,1
285396,2057974,0,1
8625,2057975,10,0
16443,2057975,2,0
54451,2057975,8,0
57347,2057975,1,0
62221,2057975,2,0
77521,2057975,4,0
77558,2057975,0,5
101606,2057975,2,0
135207,2057975,6,0
209792,2057975,1,0
265366,2057975,1,0
285508,2057975,0,3
332821,2057975,3,0
424624,2057975,0,3
3280,2057976,0,2
3314,2057976,1,0
3355,2057976,1,0
8625,2057976,12,0
16443,2057976,3,0
70086,2057976,1,0
86220,2057976,8,0
86722,2057976,15,0
101606,2057976,3,0
146459,2057976,2,0
209792,2057976,8,0
265366,2057976,1,0
285396,2057976,0,3
285508,2057976,0,1
424624,2057976,0,2
93,2057977,0,4
3476,2057977,0,1
8287,2057977,1,3
14812,2057977,2,0
54451,2057977,2,0
69404,2057977,0,1
69964,2057977,9,0
77521,2057977,7,0
77558,2057977,1,6
135207,2057977,4,0
212604,2057977,13,0
3310,2057978,4,0
3802,2057978,1,1
14922,2057978,4,1
20465,2057978,11,0
20938,2057978,1,0
40810,2057978,0,3
49872,2057978,0,1
49977,2057978,1,0
49997,2057978,1,0
50102,2057978,1,0
70083,2057978,5,0
105333,2057978,0,3
7891,2057979,14,0
8306,2057979,9,0
11155,2057979,1,0
20941,2057979,0,4
55977,2057979,4,0
55988,2057979,0,2
125250,2057979,2,0
125260,2057979,0,3
125273,2057979,1,0
125284,2057979,1,0
125286,2057979,1,0
125512,2057979,12,0
127537,2057979,1,0
3310,2057980,6,0
15808,2057980,1,0
40707,2057980,10,0
40810,2057980,2,7
55977,2057980,2,0
55982,2057980,4,0
55988,2057980,0,1
105333,2057980,0,1
105334,2057980,0,2
125250,2057980,2,0
125284,2057980,3,0
125286,2057980,1,0
125512,2057980,1,0
383,2057981,0,2
7891,2057981,9,0
8306,2057981,14,1
14922,2057981,4,5
20465,2057981,14,0
49872,2057981,0,2
3310,2057982,4,0
3434,2057982,7,0
8306,2057982,6,2
15214,2057982,5,0
20941,2057982,1,3
40707,2057982,8,0
40810,2057982,1,6
70122,2057982,1,0
105333,2057982,1,3
11155,2057983,1,0
14922,2057983,8,3
20465,2057983,10,0
26038,2057983,2,3
49872,2057983,0,3
49876,2057983,2,0
55977,2057983,1,0
55982,2057983,6,0
125260,2057983,0,2
125273,2057983,1,0
125284,2057983,5,0
125575,2057983,5,0
3319,2057984,1,0
14716,2057984,1,0
14723,2057984,0,5
14732,2057984,1,0
14795,2057984,1,0
14862,2057984,0,1
15024,2057984,0,2
15125,2057984,1,0
112366,2057984,1,1
224593,2057984,13,0
255387,2057984,7,0
336178,2057984,12,0
448210,2057984,1,0
8529,2057985,1,6
14908,2057985,1,0
14911,2057985,1,1
