player_id,match_id,shot,goal
4513,2057954,3,2
101669,2057954,1,1
101699,2057954,2,0
101857,2057954,1,0
102157,2057954,1,1
103682,2057954,2,0
122615,2057954,1,0
122671,2057954,2,0
122832,2057954,2,0
122940,2057954,2,0
220971,2057954,1,0
257800,2057954,0,1
7972,2057955,3,0
20460,2057955,1,0
21174,2057955,4,0
86340,2057955,1,0
116349,2057955,1,0
120156,2057955,1,0
120225,2057955,1,0
120339,2057955,2,0
220112,2057955,2,0
227894,2057955,1,1
437417,2057955,1,0
4513,2057956,4,1
101583,2057956,2,0
101669,2057956,2,1
102157,2057956,1,0
103682,2057956,2,0
120167,2057956,1,0
120225,2057956,3,0
120353,2057956,3,1
198120,2057956,1,0
220112,2057956,3,0
257800,2057956,1,0
388928,2057956,1,0
7972,2057957,4,1
20460,2057957,2,0
21174,2057957,4,0
86340,2057957,2,0
122615,2057957,2,0
122623,2057957,1,0
122832,2057957,1,0
122940,2057957,2,0
284147,2057957,1,0
333571,2057957,1,0
3433,2057958,2,0
4513,2057958,1,0
7972,2057958,0,1
21174,2057958,3,1
70095,2057958,2,0
101669,2057958,1,0
103682,2057958,1,0
116269,2057958,1,0
116349,2057958,1,0
333571,2057958,1,0
361807,2057958,2,0
120339,2057959,1,0
120353,2057959,2,1
122615,2057959,3,0
122749,2057959,1,0
122832,2057959,4,1
122847,2057959,1,1
122918,2057959,5,0
122940,2057959,1,0
139393,2057959,2,0
220112,2057959,3,0
292954,2057959,1,0
388928,2057959,1,0
3304,2057960,1,1
3322,2057960,1,3
3346,2057960,1,0
3353,2057960,1,0
3563,2057960,2,0
3840,2057960,1,0
4338,2057960,3,2
8317,2057960,2,0
32597,2057960,2,0
237034,2057960,1,0
243588,2057960,1,0
20579,2057961,1,0
25998,2057961,3,0
26226,2057961,1,0
79006,2057961,2,0
79248,2057961,1,0
79381,2057961,1,0
101620,2057961,1,0
221039,2057961,2,0
272829,2057961,1,0
372915,2057961,3,0
396475,2057961,1,0
552555,2057961,1,0
142,2057962,1,0
3322,2057962,4,1
20579,2057962,4,0
25998,2057962,3,0
28907,2057962,1,0
29625,2057962,1,0
101620,2057962,1,0
101846,2057962,1,0
149074,2057962,1,0
221039,2057962,3,0
237034,2057962,1,0
243588,2057962,2,0
3306,2057963,1,0
3341,2057963,1,0
3346,2057963,1,0
3563,2057963,3,0
4338,2057963,1,1
4501,2057963,1,0
8317,2057963,4,0
79149,2057963,2,0
79320,2057963,2,0
237836,2057963,1,0
3322,2057964,3,0
8126,2057964,1,0
28907,2057964,1,0
32597,2057964,2,1
53562,2057964,2,0
70403,2057964,1,0
70965,2057964,1,0
79149,2057964,0,1
79320,2057964,1,0
135927,2057964,1,0
237836,2057964,1,0
241647,2057964,1,0
3306,2057965,1,0
3341,2057965,3,0
3345,2057965,2,0
3346,2057965,1,0
3353,2057965,2,0
3563,2057965,2,1
3840,2057965,1,1
4338,2057965,1,0
29625,2057965,2,1
32968,2057965,1,0
70129,2057965,1,0
221039,2057965,2,0
288091,2057965,1,0
447821,2057965,1,1
54,2057967,2,0
405,2057967,1,0
14872,2057967,3,0
14909,2057967,2,0
15080,2057967,1,0
55990,2057967,2,0
56026,2057967,1,0
56274,2057967,2,1
70156,2057967,1,0
114617,2057967,1,0
114709,2057967,2,0
114723,2057967,1,0
114762,2057967,2,0
139075,2057967,1,0
241945,2057967,1,0
3309,2057968,1,0
3682,2057968,2,0
7936,2057968,1,0
14872,2057968,1,0
14909,2057968,1,0
25437,2057968,1,0
26010,2057968,2,0
70156,2057968,1,0
114709,2057968,1,0
114723,2057968,1,0
114762,2057968,2,0
114813,2057968,1,0
139078,2057968,1,0
279545,2057968,2,0
286390,2057968,1,0
353833,2057968,2,1
54,2057970,2,0
1722,2057970,1,0
3309,2057970,1,0
3682,2057970,2,0
26010,2057970,3,0
28115,2057970,2,0
28922,2057970,1,0
286390,2057970,2,0
93,2057972,1,0
3280,2057972,2,0
3355,2057972,1,0
3359,2057972,7,0
3445,2057972,1,0
8325,2057972,3,1
37732,2057972,2,0
37948,2057972,2,1
38084,2057972,1,0
70086,2057972,3,0
77558,2057972,3,0
86722,2057972,1,0
135207,2057972,1,0
285396,2057972,1,0
3476,2057973,1,0
5295,2057973,2,0
8287,2057973,0,1
8625,2057973,3,0
14812,2057973,1,0
14943,2057973,2,0
16443,2057973,1,0
69404,2057973,1,0
69409,2057973,1,0
69411,2057973,2,0
69616,2057973,1,0
230020,2057973,3,0
285508,2057973,1,0
424624,2057973,2,0
3323,2057974,1,0
3359,2057974,1,0
3476,2057974,3,1
8287,2057974,2,1
8325,2057974,1,0
14812,2057974,1,0
14943,2057974,3,0
69404,2057974,1,0
69616,2057974,2,1
69968,2057974,1,0
70086,2057974,1,0
86234,2057974,1,0
89073,2057974,1,0
89186,2057974,1,0
146459,2057974,3,0
8625,2057975,3,0
11093,2057975,2,0
16443,2057975,1,0
37948,2057975,2,0
38084,2057975,2,0
56146,2057975,1,0
57347,2057975,1,0
77558,2057975,1,0
101606,2057975,3,2
230020,2057975,1,0
265366,2057975,2,0
285508,2057975,2,0
424624,2057975,2,0
3314,2057976,1,0
3323,2057976,2,0
3359,2057976,1,1
5295,2057976,2,0
8625,2057976,0,1
16443,2057976,1,0
86722,2057976,1,0
101606,2057976,1,0
265366,2057976,1,0
424624,2057976,2,0
93,2057977,2,0
3476,2057977,1,0
8287,2057977,1,0
14812,2057977,2,1
21314,2057977,1,0
37948,2057977,1,0
38084,2057977,4,0
57347,2057977,2,0
57480,2057977,1,0
69400,2057977,2,1
69404,2057977,1,0
69411,2057977,2,0
77521,2057977,2,0
77558,2057977,1,1
135207,2057977,1,0
135810,2057977,1,0
3431,2057978,1,0
3802,2057978,4,1
14785,2057978,1,0
15808,2057978,2,0
20394,2057978,1,0
21169,2057978,3,0
40550,2057978,1,0
40756,2057978,1,0
40810,2057978,3,0
49872,2057978,1,0
49997,2057978,2,1
105333,2057978,2,0
105339,2057978,2,0
8306,2057979,1,1
11155,2057979,1,0
26038,2057979,1,0
